source,target,distance,duration,pm
12,317,399,257,62.1369312726
12,251,758,595,71.9381969224
12,210,995,692,70.9531500802
12,118,1679,1239,77.6481734864
12,0,2020,1498,63.027657875
12,166,2109,1579,77.7476749914
12,149,1567,1174,81.7813531621
12,130,1724,1229,79.4480830286
12,319,1766,1317,65.854832127
12,120,2003,1462,72.0930478377
12,326,2030,1512,67.2092026481
12,309,2398,1811,61.6608872979
12,231,2197,1644,82.0451668365
12,272,2405,1856,48.07760091390001
12,308,2173,1606,83.8734698308
12,268,2726,2038,67.269211196
12,5,2648,1955,76.9910188843
12,109,2975,2236,61.7030344539
12,186,2379,1744,87.8359656847
13,330,635,431,65.42609246
13,125,1051,828,78.4134348602
13,61,1244,906,72.3877267642
13,91,1512,1080,67.9098923457
13,95,1096,782,64.9384285121
13,238,1355,1038,75.8402680207
13,93,1275,949,58.747159598
13,283,1888,1456,60.528156464700004
13,277,1565,1214,81.78722889689999
13,208,1818,1391,63.37256966020001
13,221,1998,1534,75.5059659219
13,196,2011,1544,73.0925962447
13,311,2009,1516,71.93896763720001
13,169,1870,1449,75.33710186260001
13,54,2084,1584,57.4199192507
13,156,2633,1941,86.85620474219999
13,64,2421,1816,76.4300580715
13,241,2403,1796,60.021995610699996
13,284,3195,2461,63.417705751199996
14,265,430,311,55.601103425699996
14,92,864,621,77.1766881104
14,305,777,577,76.0527870076
14,220,992,735,61.1917454339
14,21,839,653,88.2752636484
14,217,1006,755,60.296474374700004
14,287,1033,738,76.2765884656
14,337,1104,828,60.251589968000005
14,23,1241,945,86.9757323843
14,30,1380,1044,80.85567106149999
14,83,1474,1123,76.31658127680001
14,165,1728,1323,43.5423933819
14,345,1735,1305,60.9452905171
14,271,1993,1466,74.14765543899999
14,150,1539,1186,76.7812260557
14,171,1418,1099,58.4221086701
14,108,1609,1246,79.4089913448
14,127,1669,1275,85.4892212167
14,76,1735,1293,93.6568443297
15,11,519,400,61.66656297390001
15,55,725,603,71.0529137571
15,3,819,597,80.3057668322
15,289,751,572,77.23967801100001
15,116,1015,816,68.9461574578
15,82,992,805,73.57972019600001
15,177,1090,829,82.8829616046
15,253,1281,1016,78.0665201707
15,105,1252,979,80.3006708206
15,49,2149,1649,62.1752820128
15,223,1627,1226,80.0680664021
15,301,1407,1101,71.1340580299
15,124,1282,969,85.2104830656
15,299,1709,1346,66.710135421
15,84,1747,1341,68.175690578
15,151,1837,1419,67.51764459479999
15,204,1953,1482,74.58484241859999
15,332,1715,1303,67.6554981801
15,111,1697,1249,70.93111600659999
16,72,641,433,58.2540208372
16,87,575,477,95.77306695530001
16,267,458,404,67.5158540742
16,115,789,576,54.8618918342
16,69,584,386,89.81978876790001
16,136,829,780,63.590768697200005
16,10,1035,959,68.5036702937
16,214,1037,745,67.8202577155
16,57,852,633,79.7970072921
16,70,1089,785,70.48351104449999
16,59,919,785,86.9113598225
16,249,1096,849,67.1043408291
16,26,1345,1159,77.2854769087
16,78,1262,1101,68.670324345
16,275,1457,1258,73.46672758369999
16,122,1140,933,64.462857676
16,288,1466,1061,74.8130423798
16,187,1514,1125,84.70942246770001
16,236,1717,1234,69.90468507770001
17,325,297,219,64.669227351
17,273,367,297,93.700298358
17,22,398,280,60.9683429662
17,215,610,439,86.3283618559
17,168,682,512,68.8737698393
17,346,844,650,69.3739588173
17,295,632,497,70.154086959
17,167,774,587,75.1291291517
17,31,871,686,78.9811414735
17,259,1021,748,73.7665396324
17,344,1021,797,67.6222090507
17,179,1141,826,73.3533865479
17,123,1115,865,63.4219650863
17,198,1278,934,89.7953549309
17,276,1128,864,63.2281196023
17,7,1290,913,83.1785942079
17,122,1150,825,64.462857676
17,75,1415,1025,73.7024580651
17,187,986,683,84.70942246770001
18,47,475,351,77.6106889508
18,152,595,441,71.3841189542
18,214,667,512,67.8202577155
18,126,893,659,74.4471212377
18,338,677,534,60.8126910815
18,70,920,684,70.48351104449999
18,236,784,582,69.90468507770001
18,72,1336,1033,58.2540208372
18,148,1568,1187,83.6651037068
18,288,1047,824,74.8130423798
18,1,1076,831,78.8726802496
18,115,1266,1001,54.8618918342
18,306,1147,927,55.6059862308
18,69,1850,1405,89.81978876790001
18,112,1641,1317,79.8724751456
18,270,1942,1475,64.8311243828
18,254,1321,1018,66.6649921522
18,25,2045,1591,64.5694833772
18,16,1705,1364,66.8975586539
19,321,914,655,49.5888810612
19,37,1251,926,48.3707316667
19,164,1476,1079,65.5982412424
19,44,2172,1586,91.3705713807
19,347,4161,3036,80.5187830018
19,33,4124,3072,85.8128491799
19,42,5110,3844,63.0527347267
19,341,3444,2517,65.7374033112
19,229,1932,1466,73.3096244056
19,313,3789,2834,67.72113476770001
19,161,4999,3743,99.98156291020001
19,199,3394,2525,72.6879923273
19,192,3262,2416,80.5927926709
19,129,5654,4228,53.556469353900006
19,142,4873,3698,67.6734947167
19,202,4163,3148,76.03960916279999
19,203,5325,4040,64.7720549741
19,296,4478,3409,81.73152426770001
19,293,4079,3087,81.2891103011
20,204,370,301,74.58484241859999
20,261,615,486,72.49729137770001
20,84,507,388,68.175690578
20,46,539,402,71.6928034532
20,38,787,593,80.2301821824
20,155,639,556,58.641771159399994
20,82,1099,874,73.57972019600001
20,201,1250,949,81.6700883909
20,151,765,616,67.51764459479999
20,116,1239,1007,68.9461574578
20,24,984,739,85.7473585269
20,290,1293,956,80.1331186482
20,110,920,673,55.635152385699996
20,55,1366,1080,71.0529137571
20,253,1260,984,78.0665201707
20,105,1120,914,80.3006708206
20,99,1565,1184,70.08880067359999
20,157,1449,1104,62.1486378799
20,25,1478,1107,64.5694833772
21,23,436,318,86.9757323843
21,337,569,398,60.251589968000005
21,305,592,413,76.0527870076
21,171,613,472,58.4221086701
21,220,1013,722,61.1917454339
21,135,865,645,83.2225262497
21,90,988,709,73.878624965
21,345,1092,802,60.9452905171
21,14,839,591,76.777572239
21,76,1246,902,93.6568443297
21,265,1269,902,55.601103425699996
21,124,1057,800,85.2104830656
21,217,1464,1053,60.296474374700004
21,127,1524,1135,85.4892212167
21,301,1149,883,71.1340580299
21,209,1376,1031,81.20876843479999
21,92,1424,1004,77.1766881104
21,108,1800,1348,79.4089913448
21,114,1831,1365,73.96164514670001
22,215,481,378,86.3283618559
22,325,559,449,64.669227351
22,17,398,326,67.9958824949
22,167,591,436,75.1291291517
22,273,697,569,93.700298358
22,187,586,396,84.70942246770001
22,249,737,528,67.1043408291
22,122,866,653,64.462857676
22,346,956,731,69.3739588173
22,344,1131,918,67.6222090507
22,168,944,742,68.8737698393
22,123,1225,992,63.4219650863
22,59,1104,881,86.9113598225
22,254,1337,957,66.6649921522
22,259,1237,925,73.7665396324
22,288,973,674,74.8130423798
22,104,1562,1235,77.4033087035
22,295,990,794,70.154086959
22,7,1506,1090,83.1785942079
23,21,436,326,88.2752636484
23,135,429,330,83.2225262497
23,171,499,392,58.4221086701
23,345,672,497,60.9452905171
23,305,556,391,76.0527870076
23,337,770,555,60.251589968000005
23,220,977,700,61.1917454339
23,209,940,716,81.20876843479999
23,124,943,720,85.2104830656
23,90,1052,775,73.878624965
23,301,948,739,71.1340580299
23,127,1104,830,85.4892212167
23,114,1411,1060,73.96164514670001
23,76,1311,968,93.6568443297
23,14,1241,891,76.777572239
23,105,1384,1089,80.3006708206
23,291,1630,1200,82.4871563716
23,289,1518,1146,77.23967801100001
23,265,1671,1202,55.601103425699996
24,110,696,495,55.635152385699996
24,84,598,460,68.175690578
24,46,762,554,71.6928034532
24,105,771,649,80.3006708206
24,209,938,724,81.20876843479999
24,34,646,440,85.3564679043
24,114,599,455,73.96164514670001
24,290,1017,745,80.1331186482
24,60,935,648,81.6161554528
24,35,931,660,75.9632200282
24,301,1273,1022,71.1340580299
24,20,983,735,69.1429609991
24,116,1053,882,68.9461574578
24,38,1274,947,80.2301821824
24,135,1447,1096,83.2225262497
24,345,1183,889,60.9452905171
24,261,1463,1118,72.49729137770001
24,82,1299,1042,73.57972019600001
24,11,1559,1221,61.66656297390001
25,148,477,352,83.6651037068
25,99,426,341,70.08880067359999
25,290,715,514,80.1331186482
25,38,691,501,80.2301821824
25,270,623,445,64.8311243828
25,112,845,631,79.8724751456
25,110,1088,781,55.635152385699996
25,261,1050,801,72.49729137770001
25,46,1202,880,71.6928034532
25,201,1019,762,81.6700883909
25,152,1537,1124,71.3841189542
25,318,1001,713,74.25131940680001
25,126,1152,817,74.4471212377
25,157,932,708,62.1486378799
25,306,1358,990,55.6059862308
25,47,1614,1166,77.6106889508
25,20,1478,1097,69.1429609991
25,338,1664,1211,60.8126910815
25,34,1413,1020,85.3564679043
26,315,384,269,79.9585255857
26,10,480,377,68.5036702937
26,281,670,514,72.5318286267
26,87,1191,873,95.77306695530001
26,6,622,436,79.56075235770001
26,275,594,444,73.46672758369999
26,245,975,658,51.386661895100005
26,57,1172,873,79.7970072921
26,102,1088,774,94.93728557040001
26,335,1454,1017,70.5791503184
26,89,1216,908,61.3296155598
26,16,1345,969,66.8975586539
26,69,1599,1144,89.81978876790001
26,136,1243,917,63.590768697200005
26,98,1187,824,70.6516892842
26,250,1374,977,59.4316808904
26,298,1451,1099,84.1459358039
26,78,1440,1077,68.670324345
26,180,1590,1130,75.6398021621
27,139,267,207,78.33771847850001
27,257,379,294,67.0741025388
27,4,432,318,86.04048798950001
27,100,577,447,54.5192404776
27,41,813,626,67.5753996258
27,194,799,622,67.2482267802
27,260,549,424,69.987682799
27,66,714,557,62.377271960600005
27,165,995,722,43.5423933819
27,65,1049,799,79.7640361795
27,32,1048,811,65.3059061944
27,280,1234,1008,73.1846690552
27,150,1125,820,76.7812260557
27,62,1066,820,92.94150523489999
27,80,1384,1143,81.1898640724
27,271,1407,1059,74.14765543899999
27,52,1182,909,64.7828728511
27,121,1582,1233,52.7749660718
27,53,1280,975,62.7583762459
28,113,529,421,85.507360565
28,294,793,589,70.9168956959
28,306,557,394,55.6059862308
28,222,908,681,66.37464485859999
28,157,1030,774,62.1486378799
28,112,757,558,79.8724751456
28,240,832,676,57.088533131999995
28,242,914,713,65.5043449035
28,322,951,717,62.051770852
28,1,1210,873,78.8726802496
28,338,1018,741,60.8126910815
28,99,1368,1026,70.08880067359999
28,256,1326,1015,60.39695892859999
28,201,1508,1122,81.6700883909
28,74,1445,1050,75.3109547828
28,323,1411,1086,72.1587172494
28,216,1574,1144,74.9393993009
28,310,1319,988,80.6914290024
28,152,1402,1035,71.3841189542
29,121,440,318,52.7749660718
29,255,359,284,62.698390911400004
29,80,495,403,81.1898640724
29,258,646,508,72.9244282366
29,159,743,596,73.0199010585
29,179,672,496,73.3533865479
29,85,714,488,74.5192949252
29,194,988,722,67.2482267802
29,198,788,573,89.7953549309
29,41,1041,750,67.5753996258
29,75,870,600,73.7024580651
29,259,928,671,73.7665396324
29,280,1000,777,73.1846690552
29,100,1198,854,54.5192404776
29,62,1209,835,92.94150523489999
29,333,1065,805,72.3674245333
29,304,1277,1010,61.4008508903
29,243,1253,974,82.86850557140001
29,295,1326,1048,70.154086959
30,287,398,324,76.2765884656
30,150,587,439,76.7812260557
30,165,784,602,43.5423933819
30,92,907,715,77.1766881104
30,274,1142,882,69.9193069262
30,4,1263,962,86.04048798950001
30,65,1298,1011,79.7640361795
30,56,1546,1207,45.552062742
30,192,1658,1255,80.5927926709
30,347,1150,835,80.5187830018
30,44,1740,1315,91.3705713807
30,14,1380,1124,76.777572239
30,27,1702,1301,71.1402668045
30,265,1798,1417,55.601103425699996
30,199,1837,1428,72.6879923273
30,131,1837,1465,84.8564642506
30,139,1840,1406,78.33771847850001
30,341,2219,1667,65.7374033112
30,260,1612,1227,69.987682799
31,276,260,191,63.2281196023
31,295,546,412,70.154086959
31,140,560,421,75.2367904404
31,273,619,443,93.700298358
31,174,750,561,66.4031129784
31,40,857,621,75.8165504817
31,17,871,618,67.9958824949
31,324,928,674,64.1335131941
31,123,985,734,63.4219650863
31,168,995,737,68.8737698393
31,304,975,712,61.4008508903
31,327,994,716,61.3202421257
31,179,1134,816,73.3533865479
31,244,998,733,73.9788415564
31,215,1003,710,86.3283618559
31,325,1168,837,64.669227351
31,107,970,702,60.8355051621
31,344,1219,902,67.6222090507
31,22,1224,875,60.9683429662
32,62,270,218,92.94150523489999
32,66,337,245,62.377271960600005
32,100,525,398,54.5192404776
32,53,469,335,62.7583762459
32,97,585,448,56.8320623285
32,232,642,481,82.9287572766
32,194,716,575,67.2482267802
32,85,811,634,74.5192949252
32,257,667,514,67.0741025388
32,52,935,723,64.7828728511
32,260,1100,821,69.987682799
32,75,1077,822,73.7024580651
32,121,939,759,52.7749660718
32,262,832,617,76.4636465651
32,139,1039,816,78.33771847850001
32,7,1178,900,83.1785942079
32,27,1048,818,71.1402668045
32,228,970,727,66.635230758
32,63,1071,796,77.0884917602
33,313,335,254,67.72113476770001
33,341,672,469,65.7374033112
33,202,982,764,76.03960916279999
33,199,793,573,72.6879923273
33,296,1185,933,81.73152426770001
33,293,1238,966,81.2891103011
33,192,1113,816,80.5927926709
33,142,1050,843,67.6734947167
33,161,1074,811,99.98156291020001
33,269,1321,963,78.4049566324
33,347,1628,1176,80.5187830018
33,44,1949,1410,91.3705713807
33,42,1112,847,63.0527347267
33,43,1363,1087,68.7891225744
33,336,1541,1217,65.8663886407
33,234,1724,1327,71.5451252288
33,203,1502,1185,64.7720549741
33,147,1824,1351,67.5403061262
33,274,1519,1121,69.9193069262
34,60,289,208,81.6161554528
34,35,421,319,75.9632200282
34,114,636,501,73.96164514670001
34,110,521,403,55.635152385699996
34,24,646,511,85.7473585269
34,290,842,646,80.1331186482
34,291,857,649,82.4871563716
34,318,1085,805,74.25131940680001
34,334,1004,744,65.7226614057
34,209,1169,936,81.20876843479999
34,127,929,742,85.4892212167
34,46,956,737,71.6928034532
34,345,1216,952,60.9452905171
34,270,1362,1033,64.8311243828
34,262,1190,896,76.4636465651
34,105,1452,1184,80.3006708206
