,Unnamed: 0,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry,x,y,z
30,327,50.874082,4.362205,SIBELGA - QUAI DES USINES / WERKHUIZENKAAI 16,"50.874082, 4.362205",80.85567106149999,4.362205,50.874082,5243775.798359999,10121377.1921,POINT (4.362205 50.874082),-1793.2588874666458,-1249.6079523014564,-5984.341528361065
31,103,50.834792,4.364115,ERNEST SOLVAY - RUE DE L'ARBRE BENIT/GEWIJDE BOOMSTRAAT 2-4-6,"50.834792, 4.364115",78.9811414735,4.364115,50.834792,5249395.405230001,10121722.5637,POINT (4.364115 50.83479200000001),-1831.3287859941,-1172.0410045740953,-5988.505302760141
32,30,50.853666,4.351771,LAEKEN/LAKEN - RUE DE LAEKEN (ENTRE N° 119 ET 109) / LAKENSESTRAAT (TUSSEN N° 119 EN 109),"50.853666, 4.351771",65.3059061944,4.351771,50.853666,5246727.08197,10120521.0579,POINT (4.351771 50.853666),-1870.2429407803,-1247.3174860412541,-5961.210567617721
33,169,50.877125,4.3875150000000005,GEORGES EEKHOUD - AVENUE GEORGES EEKHOUD/GEORGES EEKHOUDLAAN 56,"50.877125, 4.387515",85.8128491799,4.3875150000000005,50.877125,5243269.50433,10123655.614,POINT (4.387515 50.877125),-1664.8839267000114,-1167.6939435446484,-6037.739093802009
34,84,50.858959999999996,4.330107,STE ANNE/SINT-ANNA  -  RUE DE L'EGLISE STE ANNE/SINT-ANNAKERKSTRAAT 116,"50.85896, 4.330107",85.3564679043,4.330107,50.858959999999996,5246028.3227699995,10118535.0978,POINT (4.330107 50.85896),-1970.2279976232867,-1329.1236132869428,-5911.114366850331
35,259,50.859608,4.33409,NOVILLE - SQ NOVILLE,"50.859608, 4.33409",75.9632200282,4.33409,50.859608,5245924.75504,10118893.2137,POINT (4.33409 50.859608),-1949.841307636837,-1317.2099784798943,-5920.533569504194
36,62,50.841770000000004,4.384180000000001,CORTENBERGH / KORTENBERG - AVENUE D'AUDERGHEM 1 - 9 /OUDERGHEMLAAN 1-9,"50.84177, 4.38418",67.475269297,4.384180000000001,50.841770000000004,5248340.00742,10123511.0393,POINT (4.38418 50.84177),-1721.9929534912483,-1119.0806616120544,-6030.923622541775
37,275,50.896278,4.372427,VERSAILLES - AVENUE DE VERSAILLES / VERSAILLESLAAN 125,"50.896278, 4.372427",48.3707316667,4.372427,50.896278,5240571.0879,10122204.9659,POINT (4.372427 50.896278),-1715.5918709682076,-1252.9548954985805,-6006.370747973683
38,174,50.853947,4.31635,MENNEKENS - AVENUE BRIGADE PIRON (FACE AUX 80 - 82 - 84)/ BRIGADE PIRONLAAN (TEGENOVER 80 - 82 - 84),"50.853947, 4.31635",80.2301821824,4.31635,50.853947,5246783.07327,10117309.8034,POINT (4.31635 50.853947),-2044.3177341457008,-1364.242971019664,-5877.860760334565
39,354,50.821557,4.4022879999999995,TRIOMPHE - BD DU TRIOMPHE / TRIOMFLAAN  105 - 107,"50.821557, 4.402288",70.7502212608,4.4022879999999995,50.821557,5251183.18418,10125243.9277,POINT (4.402288 50.821557),-1651.2247270753414,-1026.2271059631605,-6067.120884544945
