,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry
26,50.839413,4.328914,VAN LINT - RUE VAN LINT/ VAN LINTSTRAAT 6 - 8,"50.839413, 4.328914",77.6106889508,4.328914,50.839413,5248830.27089,10118510.5746,POINT (4.328914 50.839413)
243,50.811752,4.353424,RONDPOINT CHURCHILL/ROTONDE CHURCHILL - AV MESSIDOR FACE 338/MESSIDORLAAN TEGENOVER 338,"50.811752, 4.353424",85.5014569162,4.353424,50.811752,5252724.96971,10120853.4509,POINT (4.353424 50.811752)
320,50.887001,4.310701,UZ BRUSSEL - AVENUE DE L'ARBRE BALLON / DIKKE-BEUKLAAN,"50.887001, 4.310701",62.1752820128,4.310701,50.887001,5242066.86609,10116658.5469,POINT (4.310701 50.887001)
177,50.849409,4.389263,CHASSEURS ARDENNAIS/ARDENSE JAGERSPLEIN - RUE DU NOYER 81-87 /NOTELAARSSTRAAT 81-87,"50.849409, 4.389263",80.4023501608,4.389263,50.849409,5247231.91058,10123937.7166,POINT (4.389263 50.849409)
184,50.831592,4.385786,PHILIPPE BAUCQ - RUE PHILIPPE BAUCQ / PHILIPPE BAUCQSTRAAT 32 - 38,"50.831592, 4.385786",68.5836527335,4.385786,50.831592,5249792.92547,10123702.0318,POINT (4.385786 50.831592)
52,50.859212,4.34551,SAINCTELETTE - PLACE SAINCTELETTE/SAINCTELETTEPLEIN,"50.859212, 4.34551",64.7828728511,4.34551,50.859212,5245950.29791,10119929.653,POINT (4.34551 50.859212)
47,50.854714,4.347151,LES QUAIS/KAAIEN - QUAI A LA CHAUX/KALKKAAI 1-2,"50.854714, 4.347151",62.7583762459,4.347151,50.854714,5246589.73859,10120097.8302,POINT (4.347151 50.854714)
143,50.857218,4.407879,RTL  - CHAUSSEE DE LOUVAIN (DVT 770)/ LEUVENSE STEENWEG (N° 770),"50.857218, 4.407879",57.4199192507,4.407879,50.857218,5246060.94992,10125589.5953,POINT (4.407879 50.857218)
167,50.869032,4.309731,CHARLES V/KAREL V - AVENUE CHARLES QUINT/KEIZER KARELLAAN 129-131,"50.869032, 4.309731",71.0529137571,4.309731,50.869032,5244641.2472,10116646.3996,POINT (4.309731 50.869032)
137,50.86661,4.373102,MAISON COMMUNALE DE SCHAERBEEK / SCHAARBEEK GEMEENTEHUIS - RUE ROYALE SAINTE MARIE/KONINKLIJKE SINTE-MARIASTRAAT 241-243-245,"50.86661, 4.373102",45.552062742,4.373102,50.86661,5244814.95571,10122396.9863,POINT (4.373102 50.86661)
226,50.819939,4.325277,UNION/UNIE - BD DE LA DEUXIEME ARMEE BRITANNIQUE / BRITS TWEEDELEGERLAAN 8 - 2,"50.819939, 4.325277",79.7970072921,4.325277,50.819939,5251629.14008,10118263.8782,POINT (4.325277 50.819939)
146,50.859243,4.401022,LEOPOLD III -  BOULEVARD LEOPOLD III / LEOPOLD III-LAAN,"50.859243, 4.401022",71.9299716552,4.401022,50.859243,5245790.67483,10124959.168,POINT (4.401022 50.859243)
76,50.825749,4.345165,PLACE VAN MEENEN/VAN MEENENPLEIN - AV PAUL DEJAER (FACE 35 - 39) / PAUL DEJAERLAAN (TEGENOVER 35 - 39),"50.825749, 4.345165",86.9113598225,4.345165,50.825749,5250742.81425,10120043.2408,POINT (4.345165 50.825749)
85,50.8572655241,4.33236837869,ETANGS NOIRS /ZWARTE VIJVERS - CHEE DE GAND/STEENWEG OP GENT,"50.8572655241, 4.33236837869",81.6161554528,4.33236837869,50.8572655241,5246264.77664,10118747.2615,POINT (4.33236837869 50.8572655241)
350,50.848184,4.425621,VERHEYLEWEGHEN - PLACE VERHEYLEWEGHEN DVT LES N°32-34,"50.848184, 4.425621",72.3877267642,4.425621,50.848184,5247303.07189,10127238.5803,POINT (4.425621 50.848184)
21,50.851919,4.352776,FERMÉE - TRAVAUX DE VOIRIE - DE BROUCKERE - PLACE DE BROUCKERE/DE BROUCKEREPLEIN,"50.851919, 4.352776",92.9415052349,4.352776,50.851919,5246974.43008,10120619.7381,POINT (4.352776 50.851919)
