source,target,distance,duration,pm
164,44,1086,790,91.3705713807
164,347,3074,2265,80.5187830018
164,229,879,718,73.3096244056
164,19,1496,1150,60.586137147799995
164,341,2367,1758,65.7374033112
164,33,3047,2313,85.8128491799
164,192,2185,1657,80.5927926709
165,4,556,421,86.04048798950001
165,150,544,414,76.7812260557
165,287,746,606,76.2765884656
165,92,1255,997,77.1766881104
165,27,994,760,71.1402668045
165,30,784,603,80.85567106149999
165,260,889,679,69.987682799
165,65,1090,866,79.7640361795
165,139,1261,967,78.33771847850001
166,118,363,247,77.6481734864
166,309,513,398,61.6608872979
166,231,643,457,82.0451668365
166,0,753,553,63.027657875
166,109,1090,823,61.7030344539
166,268,1113,821,67.269211196
166,319,1030,765,65.854832127
166,120,1082,791,72.0930478377
166,263,1526,1127,75.9255085876
167,22,591,531,60.9683429662
167,325,535,475,64.669227351
167,346,502,404,69.3739588173
167,187,574,421,84.70942246770001
167,254,734,523,66.6649921522
167,146,972,697,75.3200530245
167,17,774,662,67.9958824949
167,288,856,632,74.8130423798
167,215,1075,916,86.3283618559
168,259,510,366,73.7665396324
168,325,415,343,64.669227351
168,346,451,321,69.3739588173
168,179,474,379,73.3533865479
168,17,682,570,67.9958824949
168,295,515,463,70.154086959
168,198,698,527,89.7953549309
168,75,891,655,73.7024580651
168,7,779,531,83.1785942079
169,54,808,612,57.4199192507
169,241,1165,853,60.021995610699996
169,238,600,464,75.8402680207
169,93,715,517,58.747159598
169,211,1138,919,65.8157864961
169,277,1147,871,81.78722889689999
169,153,1122,856,79.9387593446
169,58,1616,1203,71.9299716552
169,328,1414,1108,71.58515543840001
170,284,517,349,63.417705751199996
170,172,677,527,62.87558258510001
170,208,1072,796,63.37256966020001
170,328,1102,835,71.58515543840001
170,143,1191,904,77.0316701149
170,283,1274,943,60.528156464700004
170,329,1196,890,54.7699059658
170,211,1471,1128,65.8157864961
170,93,1602,1207,58.747159598
171,23,499,398,86.9757323843
171,124,492,359,85.2104830656
171,135,612,463,83.2225262497
171,90,702,490,73.878624965
171,337,540,392,60.25158996800001
171,21,612,485,88.2752636484
171,301,756,583,71.1340580299
171,76,1066,771,93.6568443297
171,209,1124,848,81.20876843479999
172,329,614,435,54.7699059658
172,328,699,544,71.58515543840001
172,143,651,501,77.0316701149
172,170,678,550,75.6830011052
172,183,675,503,63.9798558446
172,211,1041,818,65.8157864961
172,279,1198,860,77.58341363310001
172,154,1142,809,88.2140044831
172,208,1430,1080,63.37256966020001
173,206,369,269,73.06063161659999
173,193,467,414,71.9249263424
173,36,558,463,67.475269297
173,107,563,469,60.8355051621
173,141,833,653,74.4357256836
173,79,598,481,74.1478617835
173,213,706,554,49.9237763459
173,158,856,651,93.2356838171
173,51,893,707,68.5836527335
174,244,332,236,73.9788415564
174,276,490,388,63.2281196023
174,40,479,365,75.8165504817
174,327,621,464,61.3202421257
174,67,812,650,71.3257727816
174,31,750,583,78.9811414735
174,195,784,578,55.4870826708
174,213,828,615,49.9237763459
174,248,940,717,61.4663473971
175,333,338,242,72.3674245333
175,243,436,352,82.86850557140001
175,158,465,373,93.2356838171
175,144,504,406,74.8199191123
175,88,611,505,67.0772180219
175,141,629,510,74.4357256836
175,239,585,490,72.6806896267
175,160,858,661,77.06697458939999
175,258,733,579,72.9244282366
176,188,647,486,67.37301938510001
176,339,1077,804,85.1274876709
176,117,1257,951,81.5101077422
176,106,1967,1460,79.0408366332
176,196,2151,1592,73.0925962447
176,311,2356,1754,71.93896763720001
176,156,2086,1508,86.85620474219999
176,227,2218,1600,69.6251481991
176,91,2759,1999,67.9098923457
177,3,632,458,80.3057668322
177,332,624,473,67.6554981801
177,111,724,519,70.93111600659999
177,253,925,716,78.0665201707
177,299,1278,996,66.710135421
177,252,1235,953,56.9405175212
177,15,1091,780,82.66253574779999
177,55,918,712,71.0529137571
177,82,1184,911,73.57972019600001
178,227,573,443,69.6251481991
178,246,890,668,89.0083571717
178,156,1187,884,86.85620474219999
178,117,1159,907,81.5101077422
178,284,1481,1176,63.417705751199996
178,342,1585,1249,71.53704598770001
178,282,1341,996,65.9800547207
178,134,1423,1126,67.074923526
178,138,1987,1519,68.8844873755
179,255,329,250,62.698390911400004
179,198,484,362,89.7953549309
179,168,474,376,68.8737698393
179,259,624,459,73.7665396324
179,295,654,552,70.154086959
179,75,611,453,73.7024580651
179,29,672,490,61.2441039757
179,85,793,553,74.5192949252
179,121,846,613,52.7749660718
180,77,488,335,62.728582805100004
180,102,516,440,94.93728557040001
180,335,841,648,70.5791503184
180,137,850,601,91.9293145192
180,285,1098,814,56.675571910600006
180,250,1020,711,59.4316808904
180,6,1167,881,79.56075235770001
180,86,1062,743,67.8222755921
180,237,1299,984,62.1561504265
181,51,461,343,68.5836527335
181,314,701,527,88.7480163458
181,154,743,540,88.2140044831
181,279,684,499,77.58341363310001
181,79,963,704,74.1478617835
181,96,843,608,83.7300167686
181,190,1055,797,76.2721221332
181,248,932,693,61.4663473971
181,133,1120,847,61.452211193000004
182,300,472,361,73.9066280355
182,160,588,472,77.06697458939999
182,147,809,595,67.5403061262
182,73,755,630,80.0827003231
182,131,693,558,84.8564642506
182,316,601,534,80.4903853552
182,234,1335,1052,71.5451252288
182,144,1091,849,74.8199191123
182,269,1043,781,78.4049566324
183,329,512,392,54.7699059658
183,154,526,370,88.2140044831
183,328,713,567,71.58515543840001
183,172,675,529,62.87558258510001
183,79,745,536,74.1478617835
183,211,1033,822,65.8157864961
183,279,1043,784,77.58341363310001
183,286,1018,778,65.5125120438
183,143,1058,830,77.0316701149
184,163,572,452,60.7025272429
184,132,783,687,69.1875356347
184,2,909,678,53.5807796005
184,233,878,771,77.6193219124
184,264,1775,1307,70.0731934033
184,226,2274,1771,67.95204228850001
184,302,2118,1624,76.7783417243
184,225,1904,1461,72.3210036551
184,197,2364,1867,69.5661934046
185,43,366,303,68.7891225744
185,64,319,273,76.4300580715
185,203,695,526,64.7720549741
185,278,684,545,68.9933087846
185,142,691,546,67.6734947167
185,336,853,683,65.8663886407
185,221,831,660,75.5059659219
185,58,924,700,71.9299716552
185,161,1356,1000,99.98156291020001
186,308,308,240,83.8734698308
186,200,852,612,73.6288779035
186,67,822,622,71.3257727816
186,272,748,584,48.07760091390001
186,320,616,445,72.9389813864
186,149,812,628,81.7813531621
186,326,916,701,67.2092026481
186,207,772,589,67.8991732946
186,40,1169,861,75.8165504817
187,288,380,279,74.8130423798
187,249,516,423,67.1043408291
